Start_Date,End_Date,Pay_Plan_Type,Pay_Plan,Pay_Plan_Level,Biweekly_Pay_Rate,Hourly_Pay_Rate
04/01/2012,03/31/2013,Bargaining Unit,CL 02,1,"1,009.04",
04/01/2013,03/31/2014,Bargaining Unit,CL 02,1,"1,034.27",
04/01/2014,03/31/2015,Bargaining Unit,CL 02,1,"1,065.30",
04/01/2012,03/31/2013,Bargaining Unit,CL 02,2,"1,032.44",
04/01/2013,03/31/2014,Bargaining Unit,CL 02,2,"1,058.25",
04/01/2014,03/31/2015,Bargaining Unit,CL 02,2,"1,090.00",
04/01/2012,03/31/2013,Bargaining Unit,CL 02,3,"1,055.95",
04/01/2013,03/31/2014,Bargaining Unit,CL 02,3,"1,082.35",
04/01/2014,03/31/2015,Bargaining Unit,CL 02,3,"1,114.82",
04/01/2012,03/31/2013,Bargaining Unit,CL 02,4,"1,079.33",
04/01/2013,03/31/2014,Bargaining Unit,CL 02,4,"1,106.31",
04/01/2014,03/31/2015,Bargaining Unit,CL 02,4,"1,139.50",
04/01/2012,03/31/2013,Bargaining Unit,CL 03,1,"1,009.04",
04/01/2013,03/31/2014,Bargaining Unit,CL 03,1,"1,034.27",
04/01/2014,03/31/2015,Bargaining Unit,CL 03,1,"1,065.30",
04/01/2012,03/31/2013,Bargaining Unit,CL 03,2,"1,032.44",
04/01/2013,03/31/2014,Bargaining Unit,CL 03,2,"1,058.25",
04/01/2014,03/31/2015,Bargaining Unit,CL 03,2,"1,090.00",
04/01/2012,03/31/2013,Bargaining Unit,CL 03,3,"1,055.95",
04/01/2013,03/31/2014,Bargaining Unit,CL 03,3,"1,082.35",
04/01/2014,03/31/2015,Bargaining Unit,CL 03,3,"1,114.82",
04/01/2012,03/31/2013,Bargaining Unit,CL 03,4,"1,079.33",
04/01/2013,03/31/2014,Bargaining Unit,CL 03,4,"1,106.31",
04/01/2014,03/31/2015,Bargaining Unit,CL 03,4,"1,139.50",
04/01/2012,03/31/2013,Bargaining Unit,CL 03,5,"1,102.85",
04/01/2013,03/31/2014,Bargaining Unit,CL 03,5,"1,130.42",
04/01/2014,03/31/2015,Bargaining Unit,CL 03,5,"1,164.34",
04/01/2012,03/31/2013,Bargaining Unit,CL 04,1,"1,032.44",
04/01/2013,03/31/2014,Bargaining Unit,CL 04,1,"1,058.25",
04/01/2014,03/31/2015,Bargaining Unit,CL 04,1,"1,090.00",
04/01/2012,03/31/2013,Bargaining Unit,CL 04,2,"1,055.95",
04/01/2013,03/31/2014,Bargaining Unit,CL 04,2,"1,082.35",
04/01/2014,03/31/2015,Bargaining Unit,CL 04,2,"1,114.82",
04/01/2012,03/31/2013,Bargaining Unit,CL 04,3,"1,079.33",
04/01/2013,03/31/2014,Bargaining Unit,CL 04,3,"1,106.31",
04/01/2014,03/31/2015,Bargaining Unit,CL 04,3,"1,139.50",
04/01/2012,03/31/2013,Bargaining Unit,CL 04,4,"1,102.85",
04/01/2013,03/31/2014,Bargaining Unit,CL 04,4,"1,130.42",
04/01/2014,03/31/2015,Bargaining Unit,CL 04,4,"1,164.34",
04/01/2012,03/31/2013,Bargaining Unit,CL 04,5,"1,126.38",
04/01/2013,03/31/2014,Bargaining Unit,CL 04,5,"1,154.54",
04/01/2014,03/31/2015,Bargaining Unit,CL 04,5,"1,189.17",
04/01/2012,03/31/2013,Bargaining Unit,CL 05,1,"1,055.95",
04/01/2013,03/31/2014,Bargaining Unit,CL 05,1,"1,082.35",
04/01/2014,03/31/2015,Bargaining Unit,CL 05,1,"1,114.82",
04/01/2012,03/31/2013,Bargaining Unit,CL 05,2,"1,079.33",
04/01/2013,03/31/2014,Bargaining Unit,CL 05,2,"1,106.31",
04/01/2014,03/31/2015,Bargaining Unit,CL 05,2,"1,139.50",
04/01/2012,03/31/2013,Bargaining Unit,CL 05,3,"1,102.85",
04/01/2013,03/31/2014,Bargaining Unit,CL 05,3,"1,130.42",
04/01/2014,03/31/2015,Bargaining Unit,CL 05,3,"1,164.34",
04/01/2012,03/31/2013,Bargaining Unit,CL 05,4,"1,126.38",
04/01/2013,03/31/2014,Bargaining Unit,CL 05,4,"1,154.54",
04/01/2014,03/31/2015,Bargaining Unit,CL 05,4,"1,189.17",
04/01/2012,03/31/2013,Bargaining Unit,CL 05,5,"1,149.74",
04/01/2013,03/31/2014,Bargaining Unit,CL 05,5,"1,178.49",
04/01/2014,03/31/2015,Bargaining Unit,CL 05,5,"1,213.84",
04/01/2012,03/31/2013,Bargaining Unit,CL 06,1,"1,079.33",
04/01/2013,03/31/2014,Bargaining Unit,CL 06,1,"1,106.31",
04/01/2014,03/31/2015,Bargaining Unit,CL 06,1,"1,139.50",
04/01/2012,03/31/2013,Bargaining Unit,CL 06,2,"1,102.85",
04/01/2013,03/31/2014,Bargaining Unit,CL 06,2,"1,130.42",
04/01/2014,03/31/2015,Bargaining Unit,CL 06,2,"1,164.34",
04/01/2012,03/31/2013,Bargaining Unit,CL 06,3,"1,126.38",
04/01/2013,03/31/2014,Bargaining Unit,CL 06,3,"1,154.54",
04/01/2014,03/31/2015,Bargaining Unit,CL 06,3,"1,189.17",
04/01/2012,03/31/2013,Bargaining Unit,CL 06,4,"1,149.74",
04/01/2013,03/31/2014,Bargaining Unit,CL 06,4,"1,178.49",
04/01/2014,03/31/2015,Bargaining Unit,CL 06,4,"1,213.84",
04/01/2012,03/31/2013,Bargaining Unit,CL 06,5,"1,173.28",
04/01/2013,03/31/2014,Bargaining Unit,CL 06,5,"1,202.61",
04/01/2014,03/31/2015,Bargaining Unit,CL 06,5,"1,238.69",
04/01/2012,03/31/2013,Bargaining Unit,CL 07,1,"1,102.85",
04/01/2013,03/31/2014,Bargaining Unit,CL 07,1,"1,130.42",
04/01/2014,03/31/2015,Bargaining Unit,CL 07,1,"1,164.34",
04/01/2012,03/31/2013,Bargaining Unit,CL 07,2,"1,126.38",
04/01/2013,03/31/2014,Bargaining Unit,CL 07,2,"1,154.54",
04/01/2014,03/31/2015,Bargaining Unit,CL 07,2,"1,189.17",
04/01/2012,03/31/2013,Bargaining Unit,CL 07,3,"1,149.74",
04/01/2013,03/31/2014,Bargaining Unit,CL 07,3,"1,178.49",
04/01/2014,03/31/2015,Bargaining Unit,CL 07,3,"1,213.84",
04/01/2012,03/31/2013,Bargaining Unit,CL 07,4,"1,173.28",
04/01/2013,03/31/2014,Bargaining Unit,CL 07,4,"1,202.61",
04/01/2014,03/31/2015,Bargaining Unit,CL 07,4,"1,238.69",
04/01/2012,03/31/2013,Bargaining Unit,CL 07,5,"1,196.68",
04/01/2013,03/31/2014,Bargaining Unit,CL 07,5,"1,226.59",
04/01/2014,03/31/2015,Bargaining Unit,CL 07,5,"1,263.39",
04/01/2012,03/31/2013,Bargaining Unit,CL 08,1,"1,126.38",
04/01/2013,03/31/2014,Bargaining Unit,CL 08,1,"1,154.54",
04/01/2014,03/31/2015,Bargaining Unit,CL 08,1,"1,189.17",
04/01/2012,03/31/2013,Bargaining Unit,CL 08,2,"1,149.74",
04/01/2013,03/31/2014,Bargaining Unit,CL 08,2,"1,178.49",
04/01/2014,03/31/2015,Bargaining Unit,CL 08,2,"1,213.84",
04/01/2012,03/31/2013,Bargaining Unit,CL 08,3,"1,173.28",
04/01/2013,03/31/2014,Bargaining Unit,CL 08,3,"1,202.61",
04/01/2014,03/31/2015,Bargaining Unit,CL 08,3,"1,238.69",
04/01/2012,03/31/2013,Bargaining Unit,CL 08,4,"1,196.68",
04/01/2013,03/31/2014,Bargaining Unit,CL 08,4,"1,226.59",
04/01/2014,03/31/2015,Bargaining Unit,CL 08,4,"1,263.39",
04/01/2012,03/31/2013,Bargaining Unit,CL 08,5,"1,220.21",
04/01/2013,03/31/2014,Bargaining Unit,CL 08,5,"1,250.72",
04/01/2014,03/31/2015,Bargaining Unit,CL 08,5,"1,288.24",
04/01/2012,03/31/2013,Bargaining Unit,CL 09,1,"1,149.74",
04/01/2013,03/31/2014,Bargaining Unit,CL 09,1,"1,178.49",
04/01/2014,03/31/2015,Bargaining Unit,CL 09,1,"1,213.84",
04/01/2012,03/31/2013,Bargaining Unit,CL 09,2,"1,173.28",
04/01/2013,03/31/2014,Bargaining Unit,CL 09,2,"1,202.61",
04/01/2014,03/31/2015,Bargaining Unit,CL 09,2,"1,238.69",
04/01/2012,03/31/2013,Bargaining Unit,CL 09,3,"1,196.68",
04/01/2013,03/31/2014,Bargaining Unit,CL 09,3,"1,226.59",
04/01/2014,03/31/2015,Bargaining Unit,CL 09,3,"1,263.39",
04/01/2012,03/31/2013,Bargaining Unit,CL 09,4,"1,220.21",
04/01/2013,03/31/2014,Bargaining Unit,CL 09,4,"1,250.72",
04/01/2014,03/31/2015,Bargaining Unit,CL 09,4,"1,288.24",
04/01/2012,03/31/2013,Bargaining Unit,CL 09,5,"1,243.65",
04/01/2013,03/31/2014,Bargaining Unit,CL 09,5,"1,274.74",
04/01/2014,03/31/2015,Bargaining Unit,CL 09,5,"1,312.99",
04/01/2012,03/31/2013,Bargaining Unit,CL 10,1,"1,173.28",
04/01/2013,03/31/2014,Bargaining Unit,CL 10,1,"1,202.61",
04/01/2014,03/31/2015,Bargaining Unit,CL 10,1,"1,238.69",
04/01/2012,03/31/2013,Bargaining Unit,CL 10,2,"1,196.68",
04/01/2013,03/31/2014,Bargaining Unit,CL 10,2,"1,226.59",
04/01/2014,03/31/2015,Bargaining Unit,CL 10,2,"1,263.39",
04/01/2012,03/31/2013,Bargaining Unit,CL 10,3,"1,220.21",
04/01/2013,03/31/2014,Bargaining Unit,CL 10,3,"1,250.72",
04/01/2014,03/31/2015,Bargaining Unit,CL 10,3,"1,288.24",
04/01/2012,03/31/2013,Bargaining Unit,CL 10,4,"1,243.65",
04/01/2013,03/31/2014,Bargaining Unit,CL 10,4,"1,274.74",
04/01/2014,03/31/2015,Bargaining Unit,CL 10,4,"1,312.99",
04/01/2012,03/31/2013,Bargaining Unit,CL 10,5,"1,267.09",
04/01/2013,03/31/2014,Bargaining Unit,CL 10,5,"1,298.77",
04/01/2014,03/31/2015,Bargaining Unit,CL 10,5,"1,337.73",
04/01/2012,03/31/2013,Bargaining Unit,CL 11,1,"1,196.68",
04/01/2013,03/31/2014,Bargaining Unit,CL 11,1,"1,226.59",
04/01/2014,03/31/2015,Bargaining Unit,CL 11,1,"1,263.39",
04/01/2012,03/31/2013,Bargaining Unit,CL 11,2,"1,220.21",
04/01/2013,03/31/2014,Bargaining Unit,CL 11,2,"1,250.72",
04/01/2014,03/31/2015,Bargaining Unit,CL 11,2,"1,288.24",
04/01/2012,03/31/2013,Bargaining Unit,CL 11,3,"1,243.65",
04/01/2013,03/31/2014,Bargaining Unit,CL 11,3,"1,274.74",
04/01/2014,03/31/2015,Bargaining Unit,CL 11,3,"1,312.99",
04/01/2012,03/31/2013,Bargaining Unit,CL 11,4,"1,267.09",
04/01/2013,03/31/2014,Bargaining Unit,CL 11,4,"1,298.77",
04/01/2014,03/31/2015,Bargaining Unit,CL 11,4,"1,337.73",
04/01/2012,03/31/2013,Bargaining Unit,CL 11,5,"1,290.61",
04/01/2013,03/31/2014,Bargaining Unit,CL 11,5,"1,322.88",
04/01/2014,03/31/2015,Bargaining Unit,CL 11,5,"1,362.56",
04/01/2012,03/31/2013,Bargaining Unit,CL 12,1,"1,220.21",
04/01/2013,03/31/2014,Bargaining Unit,CL 12,1,"1,250.72",
04/01/2014,03/31/2015,Bargaining Unit,CL 12,1,"1,288.24",
04/01/2012,03/31/2013,Bargaining Unit,CL 12,2,"1,243.65",
04/01/2013,03/31/2014,Bargaining Unit,CL 12,2,"1,274.74",
04/01/2014,03/31/2015,Bargaining Unit,CL 12,2,"1,312.99",
04/01/2012,03/31/2013,Bargaining Unit,CL 12,3,"1,267.09",
04/01/2013,03/31/2014,Bargaining Unit,CL 12,3,"1,298.77",
04/01/2014,03/31/2015,Bargaining Unit,CL 12,3,"1,337.73",
04/01/2012,03/31/2013,Bargaining Unit,CL 12,4,"1,290.61",
04/01/2013,03/31/2014,Bargaining Unit,CL 12,4,"1,322.88",
04/01/2014,03/31/2015,Bargaining Unit,CL 12,4,"1,362.56",
04/01/2012,03/31/2013,Bargaining Unit,CL 12,5,"1,321.97",
04/01/2013,03/31/2014,Bargaining Unit,CL 12,5,"1,355.02",
04/01/2014,03/31/2015,Bargaining Unit,CL 12,5,"1,395.67",
04/01/2012,03/31/2013,Bargaining Unit,CL 13,1,"1,243.65",
04/01/2013,03/31/2014,Bargaining Unit,CL 13,1,"1,274.74",
04/01/2014,03/31/2015,Bargaining Unit,CL 13,1,"1,312.99",
04/01/2012,03/31/2013,Bargaining Unit,CL 13,2,"1,267.09",
04/01/2013,03/31/2014,Bargaining Unit,CL 13,2,"1,298.77",
04/01/2014,03/31/2015,Bargaining Unit,CL 13,2,"1,337.73",
04/01/2012,03/31/2013,Bargaining Unit,CL 13,3,"1,290.61",
04/01/2013,03/31/2014,Bargaining Unit,CL 13,3,"1,322.88",
04/01/2014,03/31/2015,Bargaining Unit,CL 13,3,"1,362.56",
04/01/2012,03/31/2013,Bargaining Unit,CL 13,4,"1,321.97",
04/01/2013,03/31/2014,Bargaining Unit,CL 13,4,"1,355.02",
04/01/2014,03/31/2015,Bargaining Unit,CL 13,4,"1,395.67",
04/01/2012,03/31/2013,Bargaining Unit,CL 13,5,"1,353.71",
04/01/2013,03/31/2014,Bargaining Unit,CL 13,5,"1,387.55",
04/01/2014,03/31/2015,Bargaining Unit,CL 13,5,"1,429.18",
04/01/2012,03/31/2013,Bargaining Unit,CL 14,1,"1,267.09",
04/01/2013,03/31/2014,Bargaining Unit,CL 14,1,"1,298.77",
04/01/2014,03/31/2015,Bargaining Unit,CL 14,1,"1,337.73",
04/01/2012,03/31/2013,Bargaining Unit,CL 14,2,"1,290.61",
04/01/2013,03/31/2014,Bargaining Unit,CL 14,2,"1,322.88",
04/01/2014,03/31/2015,Bargaining Unit,CL 14,2,"1,362.56",
04/01/2012,03/31/2013,Bargaining Unit,CL 14,3,"1,321.97",
04/01/2013,03/31/2014,Bargaining Unit,CL 14,3,"1,355.02",
04/01/2014,03/31/2015,Bargaining Unit,CL 14,3,"1,395.67",
04/01/2012,03/31/2013,Bargaining Unit,CL 14,4,"1,353.71",
04/01/2013,03/31/2014,Bargaining Unit,CL 14,4,"1,387.55",
04/01/2014,03/31/2015,Bargaining Unit,CL 14,4,"1,429.18",
04/01/2012,03/31/2013,Bargaining Unit,CL 14,5,"1,395.17",
04/01/2013,03/31/2014,Bargaining Unit,CL 14,5,"1,430.05",
04/01/2014,03/31/2015,Bargaining Unit,CL 14,5,"1,472.95",
04/01/2012,03/31/2013,Bargaining Unit,CL 15,1,"1,290.61",
04/01/2013,03/31/2014,Bargaining Unit,CL 15,1,"1,322.88",
04/01/2014,03/31/2015,Bargaining Unit,CL 15,1,"1,362.56",
04/01/2012,03/31/2013,Bargaining Unit,CL 15,2,"1,321.97",
04/01/2013,03/31/2014,Bargaining Unit,CL 15,2,"1,355.02",
04/01/2014,03/31/2015,Bargaining Unit,CL 15,2,"1,395.67",
04/01/2012,03/31/2013,Bargaining Unit,CL 15,3,"1,353.71",
04/01/2013,03/31/2014,Bargaining Unit,CL 15,3,"1,387.55",
04/01/2014,03/31/2015,Bargaining Unit,CL 15,3,"1,429.18",
04/01/2012,03/31/2013,Bargaining Unit,CL 15,4,"1,395.17",
04/01/2013,03/31/2014,Bargaining Unit,CL 15,4,"1,430.05",
04/01/2014,03/31/2015,Bargaining Unit,CL 15,4,"1,472.95",
04/01/2012,03/31/2013,Bargaining Unit,CL 15,5,"1,436.60",
04/01/2013,03/31/2014,Bargaining Unit,CL 15,5,"1,472.51",
04/01/2014,03/31/2015,Bargaining Unit,CL 15,5,"1,516.69",
04/01/2012,03/31/2013,Bargaining Unit,CL 16,1,"1,321.97",
04/01/2013,03/31/2014,Bargaining Unit,CL 16,1,"1,355.02",
04/01/2014,03/31/2015,Bargaining Unit,CL 16,1,"1,395.67",
04/01/2012,03/31/2013,Bargaining Unit,CL 16,2,"1,353.71",
04/01/2013,03/31/2014,Bargaining Unit,CL 16,2,"1,387.55",
04/01/2014,03/31/2015,Bargaining Unit,CL 16,2,"1,429.18",
04/01/2012,03/31/2013,Bargaining Unit,CL 16,3,"1,395.17",
04/01/2013,03/31/2014,Bargaining Unit,CL 16,3,"1,430.05",
04/01/2014,03/31/2015,Bargaining Unit,CL 16,3,"1,472.95",
04/01/2012,03/31/2013,Bargaining Unit,CL 16,4,"1,436.60",
04/01/2013,03/31/2014,Bargaining Unit,CL 16,4,"1,472.51",
04/01/2014,03/31/2015,Bargaining Unit,CL 16,4,"1,516.69",
04/01/2012,03/31/2013,Bargaining Unit,CL 16,5,"1,478.10",
04/01/2013,03/31/2014,Bargaining Unit,CL 16,5,"1,515.05",
04/01/2014,03/31/2015,Bargaining Unit,CL 16,5,"1,560.50",
04/01/2012,03/31/2013,Bargaining Unit,CL 17,1,"1,353.71",
04/01/2013,03/31/2014,Bargaining Unit,CL 17,1,"1,387.55",
04/01/2014,03/31/2015,Bargaining Unit,CL 17,1,"1,429.18",
04/01/2012,03/31/2013,Bargaining Unit,CL 17,2,"1,395.17",
04/01/2013,03/31/2014,Bargaining Unit,CL 17,2,"1,430.05",
04/01/2014,03/31/2015,Bargaining Unit,CL 17,2,"1,472.95",
04/01/2012,03/31/2013,Bargaining Unit,CL 17,3,"1,436.60",
04/01/2013,03/31/2014,Bargaining Unit,CL 17,3,"1,472.51",
04/01/2014,03/31/2015,Bargaining Unit,CL 17,3,"1,516.69",
04/01/2012,03/31/2013,Bargaining Unit,CL 17,4,"1,478.10",
04/01/2013,03/31/2014,Bargaining Unit,CL 17,4,"1,515.05",
04/01/2014,03/31/2015,Bargaining Unit,CL 17,4,"1,560.50",
04/01/2012,03/31/2013,Bargaining Unit,CL 17,5,"1,519.52",
04/01/2013,03/31/2014,Bargaining Unit,CL 17,5,"1,557.51",
04/01/2014,03/31/2015,Bargaining Unit,CL 17,5,"1,604.24",
04/01/2012,03/31/2013,Bargaining Unit,CL 18,1,"1,395.17",
04/01/2013,03/31/2014,Bargaining Unit,CL 18,1,"1,430.05",
04/01/2014,03/31/2015,Bargaining Unit,CL 18,1,"1,472.95",
04/01/2012,03/31/2013,Bargaining Unit,CL 18,2,"1,436.60",
04/01/2013,03/31/2014,Bargaining Unit,CL 18,2,"1,472.51",
04/01/2014,03/31/2015,Bargaining Unit,CL 18,2,"1,516.69",
04/01/2012,03/31/2013,Bargaining Unit,CL 18,3,"1,478.10",
04/01/2013,03/31/2014,Bargaining Unit,CL 18,3,"1,515.05",
04/01/2014,03/31/2015,Bargaining Unit,CL 18,3,"1,560.50",
04/01/2012,03/31/2013,Bargaining Unit,CL 18,4,"1,519.52",
04/01/2013,03/31/2014,Bargaining Unit,CL 18,4,"1,557.51",
04/01/2014,03/31/2015,Bargaining Unit,CL 18,4,"1,604.24",
04/01/2012,03/31/2013,Bargaining Unit,CL 18,5,"1,561.00",
04/01/2013,03/31/2014,Bargaining Unit,CL 18,5,"1,600.03",
04/01/2014,03/31/2015,Bargaining Unit,CL 18,5,"1,648.03",
04/01/2012,03/31/2013,Bargaining Unit,CL 19,1,"1,436.60",
04/01/2013,03/31/2014,Bargaining Unit,CL 19,1,"1,472.51",
04/01/2014,03/31/2015,Bargaining Unit,CL 19,1,"1,516.69",
04/01/2012,03/31/2013,Bargaining Unit,CL 19,2,"1,478.10",
04/01/2013,03/31/2014,Bargaining Unit,CL 19,2,"1,515.05",
04/01/2014,03/31/2015,Bargaining Unit,CL 19,2,"1,560.50",
04/01/2012,03/31/2013,Bargaining Unit,CL 19,3,"1,519.52",
04/01/2013,03/31/2014,Bargaining Unit,CL 19,3,"1,557.51",
04/01/2014,03/31/2015,Bargaining Unit,CL 19,3,"1,604.24",
04/01/2012,03/31/2013,Bargaining Unit,CL 19,4,"1,561.00",
04/01/2013,03/31/2014,Bargaining Unit,CL 19,4,"1,600.03",
04/01/2014,03/31/2015,Bargaining Unit,CL 19,4,"1,648.03",
04/01/2012,03/31/2013,Bargaining Unit,CL 19,5,"1,602.46",
04/01/2013,03/31/2014,Bargaining Unit,CL 19,5,"1,642.53",
04/01/2014,03/31/2015,Bargaining Unit,CL 19,5,"1,691.80",
04/01/2012,03/31/2013,Bargaining Unit,CL 20,1,"1,478.10",
04/01/2013,03/31/2014,Bargaining Unit,CL 20,1,"1,515.05",
04/01/2014,03/31/2015,Bargaining Unit,CL 20,1,"1,560.50",
04/01/2012,03/31/2013,Bargaining Unit,CL 20,2,"1,519.52",
04/01/2013,03/31/2014,Bargaining Unit,CL 20,2,"1,557.51",
04/01/2014,03/31/2015,Bargaining Unit,CL 20,2,"1,604.24",
04/01/2012,03/31/2013,Bargaining Unit,CL 20,3,"1,561.00",
04/01/2013,03/31/2014,Bargaining Unit,CL 20,3,"1,600.03",
04/01/2014,03/31/2015,Bargaining Unit,CL 20,3,"1,648.03",
04/01/2012,03/31/2013,Bargaining Unit,CL 20,4,"1,602.46",
04/01/2013,03/31/2014,Bargaining Unit,CL 20,4,"1,642.53",
04/01/2014,03/31/2015,Bargaining Unit,CL 20,4,"1,691.80",
04/01/2012,03/31/2013,Bargaining Unit,CL 20,5,"1,643.92",
04/01/2013,03/31/2014,Bargaining Unit,CL 20,5,"1,685.02",
04/01/2014,03/31/2015,Bargaining Unit,CL 20,5,"1,735.57",
04/01/2012,03/31/2013,Bargaining Unit,CL 21,1,"1,519.52",
04/01/2013,03/31/2014,Bargaining Unit,CL 21,1,"1,557.51",
04/01/2014,03/31/2015,Bargaining Unit,CL 21,1,"1,604.24",
04/01/2012,03/31/2013,Bargaining Unit,CL 21,2,"1,561.00",
04/01/2013,03/31/2014,Bargaining Unit,CL 21,2,"1,600.03",
04/01/2014,03/31/2015,Bargaining Unit,CL 21,2,"1,648.03",
04/01/2012,03/31/2013,Bargaining Unit,CL 21,3,"1,602.46",
04/01/2013,03/31/2014,Bargaining Unit,CL 21,3,"1,642.53",
04/01/2014,03/31/2015,Bargaining Unit,CL 21,3,"1,691.80",
04/01/2012,03/31/2013,Bargaining Unit,CL 21,4,"1,643.92",
04/01/2013,03/31/2014,Bargaining Unit,CL 21,4,"1,685.02",
04/01/2014,03/31/2015,Bargaining Unit,CL 21,4,"1,735.57",
04/01/2012,03/31/2013,Bargaining Unit,CL 21,5,"1,693.79",
04/01/2013,03/31/2014,Bargaining Unit,CL 21,5,"1,736.14",
04/01/2014,03/31/2015,Bargaining Unit,CL 21,5,"1,788.22",
04/01/2012,03/31/2013,Bargaining Unit,CL 22,1,"1,602.46",
04/01/2013,03/31/2014,Bargaining Unit,CL 22,1,"1,642.53",
04/01/2014,03/31/2015,Bargaining Unit,CL 22,1,"1,691.80",
04/01/2012,03/31/2013,Bargaining Unit,CL 22,2,"1,643.92",
04/01/2013,03/31/2014,Bargaining Unit,CL 22,2,"1,685.02",
04/01/2014,03/31/2015,Bargaining Unit,CL 22,2,"1,735.57",
04/01/2012,03/31/2013,Bargaining Unit,CL 22,3,"1,693.79",
04/01/2013,03/31/2014,Bargaining Unit,CL 22,3,"1,736.14",
04/01/2014,03/31/2015,Bargaining Unit,CL 22,3,"1,788.22",
04/01/2012,03/31/2013,Bargaining Unit,CL 22,4,"1,730.93",
04/01/2013,03/31/2014,Bargaining Unit,CL 22,4,"1,774.20",
04/01/2014,03/31/2015,Bargaining Unit,CL 22,4,"1,827.43",
04/01/2012,03/31/2013,Bargaining Unit,CL 22,5,"1,772.42",
04/01/2013,03/31/2014,Bargaining Unit,CL 22,5,"1,816.73",
04/01/2014,03/31/2015,Bargaining Unit,CL 22,5,"1,871.24",
04/01/2012,03/31/2013,Bargaining Unit,CL 23,1,"1,693.79",
04/01/2013,03/31/2014,Bargaining Unit,CL 23,1,"1,736.14",
04/01/2014,03/31/2015,Bargaining Unit,CL 23,1,"1,788.22",
04/01/2012,03/31/2013,Bargaining Unit,CL 23,2,"1,730.93",
04/01/2013,03/31/2014,Bargaining Unit,CL 23,2,"1,774.20",
04/01/2014,03/31/2015,Bargaining Unit,CL 23,2,"1,827.43",
04/01/2012,03/31/2013,Bargaining Unit,CL 23,3,"1,772.42",
04/01/2013,03/31/2014,Bargaining Unit,CL 23,3,"1,816.73",
04/01/2014,03/31/2015,Bargaining Unit,CL 23,3,"1,871.24",
04/01/2012,03/31/2013,Bargaining Unit,CL 23,4,"1,806.22",
04/01/2013,03/31/2014,Bargaining Unit,CL 23,4,"1,851.37",
04/01/2014,03/31/2015,Bargaining Unit,CL 23,4,"1,906.92",
04/01/2012,03/31/2013,Bargaining Unit,CL 23,5,"1,847.78",
04/01/2013,03/31/2014,Bargaining Unit,CL 23,5,"1,893.97",
04/01/2014,03/31/2015,Bargaining Unit,CL 23,5,"1,950.79",
04/01/2012,03/31/2013,Bargaining Unit,CL 24,1,"1,772.42",
04/01/2013,03/31/2014,Bargaining Unit,CL 24,1,"1,816.73",
04/01/2014,03/31/2015,Bargaining Unit,CL 24,1,"1,871.24",
04/01/2012,03/31/2013,Bargaining Unit,CL 24,2,"1,806.22",
04/01/2013,03/31/2014,Bargaining Unit,CL 24,2,"1,851.37",
04/01/2014,03/31/2015,Bargaining Unit,CL 24,2,"1,906.92",
04/01/2012,03/31/2013,Bargaining Unit,CL 24,3,"1,847.78",
04/01/2013,03/31/2014,Bargaining Unit,CL 24,3,"1,893.97",
04/01/2014,03/31/2015,Bargaining Unit,CL 24,3,"1,950.79",
04/01/2012,03/31/2013,Bargaining Unit,CL 24,4,"1,889.17",
04/01/2013,03/31/2014,Bargaining Unit,CL 24,4,"1,936.40",
04/01/2014,03/31/2015,Bargaining Unit,CL 24,4,"1,994.49",
04/01/2012,03/31/2013,Bargaining Unit,CL 24,5,"1,930.67",
04/01/2013,03/31/2014,Bargaining Unit,CL 24,5,"1,978.94",
04/01/2014,03/31/2015,Bargaining Unit,CL 24,5,"2,038.31",
04/01/2012,03/31/2013,Bargaining Unit,CL 25,1,"1,806.22",
04/01/2013,03/31/2014,Bargaining Unit,CL 25,1,"1,851.37",
04/01/2014,03/31/2015,Bargaining Unit,CL 25,1,"1,906.92",
04/01/2012,03/31/2013,Bargaining Unit,CL 25,2,"1,847.78",
04/01/2013,03/31/2014,Bargaining Unit,CL 25,2,"1,893.97",
04/01/2014,03/31/2015,Bargaining Unit,CL 25,2,"1,950.79",
04/01/2012,03/31/2013,Bargaining Unit,CL 25,3,"1,889.17",
04/01/2013,03/31/2014,Bargaining Unit,CL 25,3,"1,936.40",
04/01/2014,03/31/2015,Bargaining Unit,CL 25,3,"1,994.49",
04/01/2012,03/31/2013,Bargaining Unit,CL 25,4,"1,930.67",
04/01/2013,03/31/2014,Bargaining Unit,CL 25,4,"1,978.94",
04/01/2014,03/31/2015,Bargaining Unit,CL 25,4,"2,038.31",
04/01/2012,03/31/2013,Bargaining Unit,CL 25,5,"2,027.14",
04/01/2013,03/31/2014,Bargaining Unit,CL 25,5,"2,077.82",
04/01/2014,03/31/2015,Bargaining Unit,CL 25,5,"2,140.15",
04/01/2012,03/31/2013,Bargaining Unit,ACC 01,1,"1,373.57",
04/01/2013,03/31/2014,Bargaining Unit,ACC 01,1,"1,407.91",
04/01/2014,03/31/2015,Bargaining Unit,ACC 01,1,"1,450.15",
04/01/2012,03/31/2013,Bargaining Unit,ACC 01,2,"1,404.29",
04/01/2013,03/31/2014,Bargaining Unit,ACC 01,2,"1,439.39",
04/01/2014,03/31/2015,Bargaining Unit,ACC 01,2,"1,482.57",
04/01/2012,03/31/2013,Bargaining Unit,ACC 01,3,"1,435.03",
04/01/2013,03/31/2014,Bargaining Unit,ACC 01,3,"1,470.90",
04/01/2014,03/31/2015,Bargaining Unit,ACC 01,3,"1,515.03",
